sample,snr,signal
0.6027818820232985,-19,"[-0.24189583 -0.88813012 -0.24321937  0.02271485  0.45780867  0.13623235
  0.60065989  0.99961949  0.21448116 -0.05560976 -0.9293191   0.18210216
  0.89943289 -0.1494712  -0.99303351  0.268454   -0.98818276 -0.22452399
  0.4119115   0.22036092  0.85255     0.05267048 -0.24906578 -0.75132272
 -0.97886109 -0.00912101 -0.09713464 -0.21102592 -0.70581709  0.1674069
 -0.34711615 -0.1380204   0.90451893  0.99672566 -0.11943947 -0.12561193
  0.2807162  -0.97538163 -0.04456149  0.01295978 -0.26716118  0.26479101
  0.27153636 -0.64043688  0.22957554  0.12662629  0.16265807  0.36867257
  0.10986986  0.09141013  0.24266365  0.01163744 -0.27081089  0.928014
 -0.26455203  0.20092897  0.21783999  0.20297025 -0.13367861 -0.24006449]"
0.2709576425151299,14,"[-0.16893732 -0.14985011 -0.06526412 -0.14155529 -0.11690938 -0.71408326
 -0.24970365  0.3522342   0.2503269  -0.11998096 -0.23941777  0.05530144
  0.03752358  0.00773648  0.96340119 -0.14018612 -0.19469721  0.07416606
 -0.44852213 -0.29640509 -0.87180596  0.23998775  0.16335749  0.06478261
 -0.50643991 -0.2623459  -0.09052811  0.44220239 -0.99934744 -0.12856574
 -0.93952684  0.15027325 -0.26564834 -0.1760069   0.01322399 -0.03837917
  0.04595013 -0.92531639 -0.23449069  0.75597986  0.59503112  0.2958451
  0.633006   -0.80998523 -0.27210156 -0.72590789  0.03420895  0.0819712
 -0.19276189 -0.96788622  0.10863365  0.49160661  0.05784915 -0.12191865
 -0.09769916 -0.11168608 -0.65180763  0.19583038 -0.61447645 -0.22752492]"
0.1331851252237497,-5,"[-0.26326363  0.99202131 -0.26661669 -0.16058233  0.2469472  -0.89249736
 -0.96894085  0.21752398 -0.23101046  0.16761761 -0.96396349 -0.94105169
 -0.28539581  0.14160396  0.06806551 -0.18952242 -0.94660953  0.16530854
 -0.43855619  0.72409559 -0.26517306  0.26072612  0.2193069  -0.62578205
  0.27016881  0.25954801  0.17651367 -0.98675379 -0.2600435   0.85726977
 -0.07450234  0.0119882  -0.81605031 -0.17777412  0.13377601  0.18270891
  0.20159756 -0.23108266 -0.96699306  0.55590741 -0.99581437 -0.96337378
  0.99734469 -0.12706694  0.14121057 -0.88963521 -0.15110881  0.22403849
 -0.3884865  -0.29618053  0.27189168 -0.80516646 -0.26862896  0.24545293
 -0.26692507  0.26219121  0.22176223 -0.05033091  0.83734952 -0.02205556]"
0.07620037959916315,20,"[-0.94019986  0.20172733  0.7634295  -0.12583336  0.18769895 -0.08450218
  0.2706411  -0.04119068 -0.17589394 -0.08560707  0.26417056 -0.1893191
 -0.09771602  0.26897679 -0.23154033 -0.0741475   0.21271307  0.23371071
 -0.45515621  0.91542166 -0.72760926  0.90991819 -0.05711217  0.98815371
 -0.99948152  0.6045974  -0.02708728 -0.2400097   0.90145116 -0.30714718
 -0.20025278 -0.04772887  0.54874324 -0.26928248 -0.27198598  0.17728131
 -0.25366671  0.5191644   0.2686666   0.86346827 -0.1543665  -0.26310797
 -0.12564101 -0.2716653  -0.20995065 -0.10255307  0.17175598 -0.22679646
 -0.25547398 -0.0675193   0.98949128 -0.60601733  0.99208704  0.36274594
 -0.97845666  0.6596896   0.23004744  0.13218499  0.42810478 -0.08682843]"
0.9405318271353834,15,"[-0.45735051  0.92943822 -0.9418048   0.25396297  0.25211348 -0.24433701
 -0.73907536  0.92495197 -0.96927316 -0.24220452 -0.70063971 -0.53527698
 -0.2188023   0.5756157  -0.18765412  0.18311773 -0.5736713   0.69099809
  0.00950512 -0.2460743  -0.95508087  0.40974078  0.93147844  0.25961842
  0.6361209   0.9858155  -0.22254507 -0.88420794 -0.39778979  0.07995328
 -0.2689242  -0.03587499  0.0673699  -0.27122358  0.53780267  0.77448821
  0.27125459 -0.05458705 -0.72392558 -0.19320457 -0.96267317 -0.69614621
  0.97624075 -0.50567213 -0.27097842 -0.22957423  0.26494728  0.2647553
 -0.07520132 -0.20705153  0.72725348  0.0987717  -0.58487368  0.9977471
 -0.53855842  0.97455969  0.26568866 -0.12937873  0.00297989  0.06560827]"
0.4166390577384792,12,"[ 0.9782414   0.13036011  0.25722259  0.97661117  0.35201662 -0.046453
  0.22803262  0.26265101  0.63655908  0.96549942 -0.99849074 -0.22118891
 -0.1846361   0.18503816 -0.01135309  0.12262645 -0.99616625  0.283677
 -0.00760463  0.06696674 -0.60608183  0.18209921  0.12857904 -0.99572646
 -0.23517112 -0.84593877  0.94793895 -0.2699541   0.27173961  0.21526362
 -0.1292167  -0.72880024  0.04010851 -0.26322428 -0.15521803  0.21610272
 -0.24087583  0.20572728  0.26261693  0.16046686 -0.24711354 -0.2883989
 -0.2370488  -0.21269412 -0.26376755 -0.05542795  0.2138065  -0.29580713
  0.22697257  0.96023076  0.26310665  0.8465423  -0.99714738 -0.20132815
  0.99221493  0.23852674  0.25848244 -0.09674343 -0.76711524  0.83726462]"
0.5811626211808263,-17,"[-0.83848726  0.90987449 -0.31093616  0.82862171  0.6870374  -0.40284279
 -0.67220652 -0.09193668  0.19933801 -0.79095903 -0.09417073  0.97420871
  0.03400299 -0.20680272  0.11606031  0.08064943 -0.17259706 -0.25056904
 -0.45184022 -0.27072194  0.9920155  -0.24056486  0.09434575  0.27021645
 -0.85274334  0.0484104  -0.73764558  0.67254097  0.09086724 -0.0589876
  0.20835836  0.71117661  0.76301145  0.23906613 -0.18913557 -0.13751043
  0.81368816  0.25392995  0.86612145  0.81290091  0.49300129  0.07648707
 -0.44372679  0.27128165  0.25772404 -0.41998113 -0.08349537  0.75378253
  0.99915288 -0.26606337 -0.03223178  0.03382738 -0.72605412  0.06992385
 -0.77024043  0.41547854 -0.77857538 -0.99601529  0.05438797  0.86257724]"
0.9191765518355596,12,"[ 0.9782414   0.13036011  0.25722259  0.97661117  0.35201662 -0.046453
  0.22803262  0.26265101  0.63655908  0.96549942 -0.99849074 -0.22118891
 -0.1846361   0.18503816 -0.01135309  0.12262645 -0.99616625  0.283677
 -0.00760463  0.06696674 -0.60608183  0.18209921  0.12857904 -0.99572646
 -0.23517112 -0.84593877  0.94793895 -0.2699541   0.27173961  0.21526362
 -0.1292167  -0.72880024  0.04010851 -0.26322428 -0.15521803  0.21610272
 -0.24087583  0.20572728  0.26261693  0.16046686 -0.24711354 -0.2883989
 -0.2370488  -0.21269412 -0.26376755 -0.05542795  0.2138065  -0.29580713
  0.22697257  0.96023076  0.26310665  0.8465423  -0.99714738 -0.20132815
  0.99221493  0.23852674  0.25848244 -0.09674343 -0.76711524  0.83726462]"
0.08274842003530614,-7,"[-0.56428958 -0.98439456  0.03286382  0.98625242 -0.05987109 -0.19772517
  0.93962325 -0.47314172 -0.93904047 -0.99040109 -0.13866266 -0.6231428
  0.63269171  0.99996258 -0.08040661 -0.2579947  -0.10532648  0.9964802
  0.4252446  -0.50073611 -0.14195516  0.13917109 -0.27087434  0.26674989
  0.23989789  0.85636762 -0.9946923  -0.42841325  0.01133207 -0.73103477
  0.1187641   0.74602239 -0.86342726  0.76503351  0.99989062 -0.26864707
 -0.02305489 -0.1331192  -0.53143014 -0.25837169 -0.34981623 -0.26368836
  0.32934457  0.22365506  0.18850192 -0.19451482 -0.27164477 -0.04145193
  0.26980037 -0.07562447  0.05543889  0.24210783 -0.62178389 -0.58826475
 -0.60080105 -0.05706792 -0.21293784 -0.10606903 -0.22088092  0.81016304]"
0.8766614859257927,0,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
